review,sentiment
"I've seen some very terrible horror movies in my time, and while this isn't the worst of the bunch, it's certainly in the lower half. The script starts off OK. A young doctor goes to a hospital as an intern, hoping it will vault him to a better job for him and his future wife. Cute huh? The movie then heads straight into the toilet when you realize that something is killing patients. Turns out that there's a demon on the basement that's harvesting people's souls. It's the job of the 1 doctor, 1 nurse, and 1 security guard in the entire hospital staff to drag this mental patient downstairs, do a ritual that pretty much just involves cutting the tongue out, and then allowing the haunted house prop of a demon to come out and steal his soul through the magic of cheesy special effects. At this point the movie gets so ridiculously stupid, I was begging for it to be over. There was still an hour to go. It looked like a half an hour ""Tales From the Crypt"" episode that somehow got stretched into an hour and a half crap-fest. From Tiny Lister doing his best John Coffey (The Green Mile) impersonation to Tracy Scoggins playing the stereotypical frigid Nurse Ratchet, this movie fails in every possible level. I gave this 2 stars for only TWO reason. 1) His fiancé is pretty hot, she eased the pain a little towards the end and 2) The movie actually looks OK, a lot better than the current trend of horror movies being made with wal-mart quality home cameras.<br /><br />In the end, avoid this turd even if you have the Blockbuster movie pass (which I do, and I still felt cheated). As a bonus drinking game, you and your buddies take a shot every time Matt Stasi (Dr. James Bishop) shakes his head while talking. You'll be drunk 15 minutes into the movie.",neg
"All I can say about the Necromaniac/Schizophreniac 2 series is... if you are even remotely ""PC"" or don't have a seriously messed up sense of humor, then you probably wont get it. As sick and disgusting as this movie is, it really is a comedy and not a ""horror"" movie at all. If you can appreciate somebody who pushes the bounds of good taste and political correctness to the most extreme limits imaginable, to the point where is becomes so out of hand that it's comical, then you must see this to believe it. This movie is so out of control that a major film studio couldn't touch this with a 10 foot pole (with a condom on the end). In my opinion though, the best, most extreme pieces of art come from way underground. If you don't stick to the same old formula that people are used to seeing, then they reject it.<br /><br />I have seen stacks of terrible, boring, z-grade, Indy movies that were just a waste of a perfectly good VHS tape or DVD-R. I have also seen stacks of stink bombs coming from the big named studios that were a complete waste of millions of dollars. When a NO BUDGET film like these two from Ron Atkins/John Giancaspro come out and blow all of the other ""shock"" films completely out of the water, you really have to take a second look at the whole Indy movie scene. After seeing this, you can really see how much freedom an Indy film maker can have when they work on their own.<br /><br />The funny thing is, even the other people who saw this movie and ""hated it"" admit to the fact that they laughed all the way through it. I don't think that is is possible for anybody to get bored watching either of these two. So if don't take everything that you seen in the mainstream media too seriously, and are able to laugh at a misanthropic, puppet wielding psychopath who has finally snapped, YOU HAVE TO SEE THIS. You may just be able to see it for the stand alone, cult classic that it is. Both Schizophreniac / Schizophreniac 2 are among the favorites in my collection of well over 1000 dvds.",pos
This is a documentary I came across by chance on the UK TV channel More4 and I have to say I found it extremely interesting and thought provoking. I will also be seeking out the book that was the source material for this documentary. Basically this is Professor Jared Diamond theory on why certain parts of the earth's societies prospered and others did not. The argument he presents was new to me and argued about how the fortune of the right crops and the right animals that where able to domesticated is certainly a compelling one. As for the documentary itself it is well shot and well narrated with not to much of the re-created scenes that spoil many a modern documentary. Diamond also helps by not being to condescending which is a fault of a lot of intellectuals when trying to get a message to the masses. People have claimed his theory is Marxist but I do not buy this and see it more socio geologist. It was also refreshing to hear an theory on the evolution of society not based around religion. Highly recommended viewing.,pos
"I despise horror movies, that is no secret. No plot, bad acting and gallons of blood are staples of these mistakes of cinema, and this ""movie"" is no exception. I cannot believe some cable stations actually run this garbage. (This particular garbage was released straight-to-video, as I recall.) As mentioning any other movie would be a great insult to that other movie, I say this: All of the Phantasm movies, all of the Jason movies, Freddy movies, Chucky movies, and most of the Michael Myers movies can be summed up in one word: TERRIBLE!!!<br /><br />Rating (Phantasm III): 0.5/10",neg
"Sure this movie wasn't like. 16 blocks, inside man, an American haunting. etc...<br /><br />But It was a great mystery that can happen to anyone of us.. i found this movie really great and scary.<br /><br />I live exactly where they filmed this movie ""san pedro, California"" And we have heard true stories based on incidents of this movie.<br /><br />I dunno if you've heard of the famous boat in long beach ""Queen Mary"" Well that boat is haunted. i believe in spirts, illusions, and parallel or however u spell that. is real. everybody's in there own universe.<br /><br />and the mind is a powerful thing.<br /><br />i recommend to watch this movie. it's great, and not bad directing at all.<br /><br />for those who rate it a 1. they don't understand the film. its meaning. its plot, its view. and how bad the ocean life can be for each and everyone of us.<br /><br />Ty.<br /><br />Victor",pos
"Knights was just a beginning of a series, a pilot, one might say. The plot (I really shouldn't call it that, there wasn't any plot) wasn't logical at all and there were many mistakes, like [warning, I'm summarizing the plot]:<br /><br />In the beginning of the movie someone said that there was only a couple of those cyborgs (the bad guys) but after the climax, Nea found out that there were many many more left of them. And it was told that cyborgs were hard to kill, but after a month's training, Nea could kill them with a single blow.<br /><br />The movie was just pure kicking. I wasn't surprised at all, when I found out that the leading star was a kick boxer.<br /><br />There was ONE positive thing in the whole movie: it really gave a great deal of laughter when watching it and talking about it with my friends. I recommend watching it, if you are in need of laughter.",neg
"My kids picked this out at the video store...it's great to hear Liza as Dorothy cause she sounds just like her mom. But there are too many bad songs, and the animation is pretty crude compared to other cartoons of that time.",neg
"Soulless milking of cash cow franchise. Generic superhero flick. CGI showcase. Gavin Hood's ""A Series of Improbable Events."" Combinatoric iteration of mutant fight scenes strung together by inane exposition justifying formation/dissolution of arbitrary alliances. I'm not expecting Shakespeare here but the cliché per minute meter was off the charts: Primal scream while looking skyward and kneeling over murdered girlfriend. Renegade military commander. Predictable double crosses. Revenge sought for slain lover. Erased memories. Evil character discovering morality at last minute. Misguided failures to execute nemeses after defeating them in melee. Lover not really dead. Lover actually acting as spy for hero's arch-nemesis. Girlfriend/spy actually falls for protagonist. Good people work for antagonist in order to save kidnapped family members. Evil mastermind fails to honor promises to reluctant employees. Kindly old couple care for weary hero and get murdered for their troubles. Certain deaths averted as third parties arrive on scene before coup de grace. Hero reluctantly joining secret government agency. Abandonment of elite squad in protest over slaughter of innocents. Scientists unable to control indestructible killing machine of their own creation. Outdated but lovable government 'secret weapon' kills off better designed but heartless successor. Hero strolls away from wreck and casually lights a trail of gasoline behind him. After everyone has given up, flatlined heart monitor picks up a pulse. Evil mastermind explains plans to hero he no longer sees as a threat. Hero refuses to kill defeated foe because he's ""better than that"". Transparent comic relief character makes hilarious understatements and offbeat comments. Cheerful psychopath revels in random murderous rampages. Nigh indestructible Goliaths hurl one another through a series of walls and other physical traumas that would kill a mere mortal. Man dispatches dozens of gun wielding enemies with nothing but skillful swordplay. Common sense and the laws of physics, biology and chemistry temporarily abandoned. Antagonist using loved one's murder as justification for misguided crusade.<br /><br />I could go on but this is just exhausting. If you're over the age of twelve and not living in mom's basement, there's probably nothing here for you. Depressingly enough, it's not too far off of par for superhero movies so discount all I've written if you can't get enough of the genre.",neg
"I'm a fan of TV movies in general and this was one of the good ones. The cast performances throughout were pretty solid and there were twists I didn't see coming before each commercial. To me it was kind of like Medium meets CSI.<br /><br />Did anyone else think that in certain lights, the daughter looked like a young Nicole Kidman? Are they related in any way? I'd definitely watch it agin or rent it if it ever comes to video.<br /><br />Dedee was great. Haven't seen in her in a lot of things and she did her job very convincingly.<br /><br />If you're into to TV mystery movies, check this one out if you have a chance.",pos
"This movie has everything a fantasy movie should have, romance, clever witticisms, great acting and a fair dose of magic. <br /><br />I thoroughly enjoyed this movie and was drawn to its original plot (based on the Neil Gaiman novel which I am now looking to read) and colorful characters.<br /><br />One of the most striking things to me actually was how self contained the story is. Unlike so many sci-fi fantasy movies out there right now which leave open-endings and such this was a pure fairy-tale, satisfying in and of itself with no need for a sequel.<br /><br />Original. Fun. Feel-good Fantasy.",pos
"Panic is a sneaky little gem of a film - you think you have it figured out by the first half hour only to realize, with great pleasure, that Henry Bromell is a much better writer/director than that. <br /><br />The film builds slowly, with one quietly devastating scene after another, all enacted perfectly by William H. Macy, Donald Sutherland, Neve Campbell, Tracey Ullman, John Ritter, and the most remarkable child actor I've seen in a long time, David Dorfman, as Macy's son, who delivers his lines as if they're completely unscripted thoughts being created in his mind. Rich and rewarding, this film will stay with you long after the credits have rolled.",pos
"(spoilers)<br /><br />I was blown away by this movie. I've been renting on movielink for a bit, and decided to check this movie out. Alot of boxing movies seem to overblow the blood. In this movie, it shows it at the amature level. Though I do wish that perhaps more attention would have been brought to perhaps her improving her grades. The movie points out the problems some families face with gender.<br /><br />I was a bit concerned with the ending. But the ending wasn't a disappointment either.<br /><br />I think it was pretty clear by the title that she'd win. What was unexpected was that the two of them got back together sort of at the end.<br /><br />Loved the score for some of the scenes. Highly recommended.<br /><br />10/10<br /><br />Quality: 9/10<br /><br />Entertainment: 10/10<br /><br />Replayable: 10/10",pos
"The final season of Roseanne was a roller coaster ride of crazy. This final episode does just what a previous comment says, it tells us that as much as we might have thought we knew the characters we did not. Roseanne reaches back to season one, and tells us that this show has been her rendition of her life. She says in this final episode that she changed events and people as she sees fit. Scott was not really with Leon, but he existed. Mark and David married opposite wives in real life, and Dan died when she made him live. As events happened in her life, she changed them in her writing. Don't we all wish we could do that. Don't we all have a moment in time that we wish we could just use an eraser and change to our liking. This is what she did with the entire episode. And to another comment I would say that I don't feel cheated, the family was real in my mind, she just changed the way that events happened in their lives. An A+ ending to an A+ show!!!!",pos
"Contrary to some people's summaries, the women depicted in the film are not geisha. They are oiran (prostitutes) living outside the most famous pleasure districts, and their lives and experiences represent the lives of a great number of Tokugawa era women. I can't say the stories were particularly enlightening, but their charm lies in just how typical they are. The themes are universal and everyday: love, friendship, and sacrifice.<br /><br />I did greatly enjoy the art direction and the acting. I felt like I was getting a glimpse of a time and place I can never otherwise glimpse. The actors, especially the 4 women who played the main oiran, were a thrill to watch. I'd only recommend this movie to people who want a taste of Japanese culture, or to those who enjoy quiet and emotional stories. It's a great example of both.",pos
"Monstervision was a show I grew up with. From late night hosting with Penn and Teller to the one, the only, Joe Bob Briggs. The show kept me up Friday nights back in my high school years, and provided some of the best drive-in memories to ever come outside of the drive-in.<br /><br />Without a doubt, the best late night television ever. If you didn't stay up, you were missing out.<br /><br />I know John Bloom and Joe Bob live on, but I want them back where they belong...MONSTERVISION! Question...did anyone else sit through all 4 hours of ""The Swarm"" ? q:)<br /><br />Long live Monstervision!",pos
"The writers probably had no experience in the army, and probably never glanced at a history book, but I still give this cheaply produced war film some credit for taking a long-needed look at the role of black soldiers in the second world war.<br /><br />The action is confused and unbelievable--any episode of Combat! has better production values, but the cast is interesting. Seeing New York Giant Rosie Greer was worth the buck I paid for this. The art direction is fifth rate--the men wear Korean War uniforms, and it was pretty lousy weather by the time the U.S. Army reached Germany in 1944, not sunny as they show here, and I don't think the terrain resembled Northern California. The script never does make clear why the black support troops are used as combat soldiers. There is a nice touch that shows some of the men carrying Springfield rifles instead of M-1s, which second rate troops probably would have been issued with.<br /><br />This basic story idea(racist southern officer commanding black troops) should have been expanded into a big budget production back then, and its not too late to try it now. You have to take this for what it is, and I admire the creators of this film for making the effort.<br /><br />I remember seeing this a while ago and thinking it was set in Italy, which would have made more sense because there were black combat troops operating there in 1944.",neg
"I grew up in Royersford, Pa. The town where Jerry's market was. I remember my whole family going out to watch the filming. I remember a guy showing the ""Blob"" to me and my brothers in a bucket. I also would like to share that my mother was in the movie. Her hair style was the same as Aneta Corsaut's and she was ill one evening and they saw my mom and asked her to sit in the car with Steve Mcqueen for some shots from behind. They payed her $25.00 and gave her a story to tell until she passed away this past August. My mom was not a teenager and she was a few months from giving birth to my little sister.",pos
"EA have shown us that they can make a classic 007 agent and make you feel in the 60's world. The graphics of the game are outstanding and also the voice recording is very professional. I got this game April 2007 (two years after release), and I am still impressed with the gameplay. It's a shame that EA will no longer make 007 games.<br /><br />I give this game 10/10 for the levels it contains, especially the ""consulate"" level. I would recommend this game to anyone from the age of 13 and over. The only thing I didn't like in the game is the Russian boat level, it was too much pressure. On the whole I like the game A LOT!!",pos
"I mean the word ""pedestrian"". Seems the producers of the film forgot to have anything interesting happen. Faith Domergue can do better than this. She is supposed to be the mysterious, vengeful Cobra goddess torn by love for Marshall Thompson (there's an idea, eh?). Instead she's a common would-be housewife of the fifties, and the single, flat expression she wears throughout the film makes me think they shot it all in the early morning before Faith had her coffee. As for the rest of the cast, they are all so earnestly ""all-American"" that the result is laughable. This is ground more productively covered in Val Lewton in ""The Cat People"". I think ""Cult of the Cobra"" should really be titled ""Cult of the Contractual Obligation"". Why else would so many otherwise talented people sleepwalk their way though a slow-moving, predictable, derivative failure like this?",neg
"I had no idea what this movie was until I read about it in the L.A. Weekly. I generally agree with the reviews in the LA Weekly and decided to get a ticket for this film. the film stars molly parker (from my favorite television show Deadwood) and Lukas haas -- who I suspect we will be seeing more of in the very near future. The film is funny, heartwarming, features great acting, and beautiful photography. i don't know if the film has distribution, but I hope it does - or will - soon. this is destined to be a real indie gem. it even has music by my favorite band the silver jews! the only disappointment was that molly parker wasn't there at the screening. even without her there... this was hands down the best film i saw at the festival.",pos
"Encouraged by the positive comments about this film on here I was looking forward to watching this film. Bad mistake. I've seen 950+ films and this is truly one of the worst of them - it's awful in almost every way: editing, pacing, storyline, 'acting,' soundtrack (the film's only song - a lame country tune - is played no less than four times). The film looks cheap and nasty and is boring in the extreme. Rarely have I been so happy to see the end credits of a film. <br /><br />The only thing that prevents me giving this a 1-score is Harvey Keitel - while this is far from his best performance he at least seems to be making a bit of an effort. One for Keitel obsessives only.",neg
"<br /><br />Get your brewskies out and enjoy this flawed action flick. Speakman's considerable kempo skill (nice spin kicks, decent with the sticks - poor couch!) is the only redeeming quality of a movie that just cries bad acting. The plot isn't half bad; just executed pretty poorly. But if you're seeing this movie for anything other than martial arts, you're missing the boat entirely. And for a movie that is supposed to take place in Koreatown, way way too few Korean actors (even extras).",neg
"Well, I don't think the picture is as bad as most of the reviews make it out to be. . . but there's no denying that it's got problems.<br /><br />Mostly, the problems are in the script. There's a plot - but not much story, and certainly not one that anybody could call plausible; it trots out any number of self-consciously strange and/or stereotypical characters, lines, moments, what-have-you and, by the end, it just hasn't added up to much in this department.<br /><br />Sorry, but I couldn't care less about whatever ""social ill"" Farnsworth might be trying to address; there will always be a sector of the population willing to do just about anything to shred their brains, even if it requires running around corn fields trying to steal ammonia, or whatever it is those morons do. So, as a film, you won't find me calling ""Iowa"" ""important."" But, at a stylistic level, the picture is more than interesting and some of Farnsworth's choices in depicting a meth-head's wigged-out state are beautiful, hilarious, disturbing and - yes, I'm going to say it - inspired.<br /><br />The acting is uneven, but that just may be a casualty of the afore-praised stylistic reaching. Look, Rosanna Arquette is a fine actress - but she's not very good here, so a discriminating audience member does have to ask, ""What happened?"" It's weird that Diane Foster manages a simplicity and grace that so few of the other actors can come anywhere near. For example, I might seriously consider whatever explanation Farnsworth could provide for Michael T. Weiss's over-the-top turn as a probation officer, but I doubt I'd ever buy it; It Just Doesn't Work. <br /><br />Then again, it's the most alive and in the moment that I've seen John Savage appear in years. So go figure.<br /><br />This is the sort of work that tantalizes, but does not promise - and that's okay; neither Farnsworth nor anyone else is required to make movies. So, whether or not Farnsworth has another film in him remains to be seen, but if he does, it seems pretty likely that it won't be bland pap. In an age when people are planning their lives around the latest installment of ""American Idol,"" perhaps we could allow, not scorn, Farnsworth's legitimate and undeniably flawed film. <br /><br />What is more, perhaps we could welcome, not berate, his energetic and sometimes blessedly idiosyncratic imagination.",neg
"Errol Flynn's greatest movie, not just a sports movie with a wonder last 5 minutes where Ward Bond shines. Don't miss it just because you think its an old movie. Its a classic that could be easily missed. Do yourself a favour and don't.",pos
"I went to see it 2 times this movie, a friend of mine went to see it at the release party, and he was telling me it was so great, that I was expecting very much about the movie, to mutch, I couldn't enjoy it because I was not watching it in nuteral position. The second time I knew what to expect and I enjoyed it more than the first time. After The second time I felt so in the mood to have a party. I LOVED the music it's just great.<br /><br />If Tom Barman improves his directing talent he will be a director where everyone will be talking about. If you can delivere this movie as your first you must be talented.<br /><br />The acting is done by some great belgian stars (Dirk roofthooft) and a bunch of upcomming talents like Titus De Voogdt.<br /><br />",pos
"Oh dear, Oh dear. I started watching this not knowing what to expect. I couldn't believe what I was seeing. There were times when I thought it was a comedy. I loved how the government's plan to capture the terrorist leader is to air drop in one man, who is unarmed, and expect him to capture him and escape with a rocket pack. If only it were really that easy. I've finally found a movie worse than ""Plan 9 From Outer Space"".",neg
"Los Angeles TV news reporter Jennifer (the beautiful Barbara Bach of ""The Spy Who Loved Me"" fame) and her two assistants Karen (the appealingly spunky Karen Lamm) and Vicki (the pretty Lois Young, who not only gets killed first, but also bares her yummy bod in a tasty gratuitous nude bath scene) go to Solvang, California to cover an annual Danish festival. Since all the local hotels are booked solid, the three lovely ladies are forced to seek room and board at a swanky, but foreboding remote mansion owned by freaky Ernest Keller (deliciously played to geeky perfection by the late, great Sydney Lassick) and his meek sister Virginia (a solid Lelia Goldoni). Unfortunately, Keller has one very nasty and lethal dark family secret residing in his dank basement: a portly, pathetic, diapered, incest-spawned man-child Mongoloid named Junior (an alternately touching and terrifying portrayal by Stephen Furst; Flounder in ""Animal House""), who naturally gets loose and wreaks some murderous havoc. Capably directed by Danny Steinmann, with uniformly fine acting from a sturdy cast, a compellingly perverse plot, excellent make-up by Craig Reardon, a nicely creepy atmosphere, a wonderfully wild climax, a slow, but steady pace, likable well-drawn characters, and a surprisingly heart-breaking final freeze frame (the incest subplot packs an unexpectedly strong and poignant punch), this unjustly overlooked early 80's psycho sleeper is well worth checking out.",pos
"My wife and I took our 13 year old son to see this film and were absolutely delighted with the winsome fun of the film. It has extra appeal to boys and men who remember their childhood, but even women enjoy the film and especially Hallie Kate Eisenberg's refrain, ""Boys are so weird."" It's refreshing to see a film that unapologetically shows that boys and girls are indeed different in their emotional and social makeup. Boys really do these kinds of strange things and usually survive to tell the story and scare their mothers silly! We enjoyed the film so much that my son and an 11 year old friend, myself and my daughters 23 year old boyfriend went to see the movie the next day for a guys day out. We had even more fun the second time around and everyone raved about it. It's clean and delightfully acted by a pre-adolescent cast reminiscent of the TV Classic ""Freaks and Geeks"". We all feel it will become a sleeper hit not unlike the ""Freaks & Geeks"" which didn't survive its first season but sold-out its DVD release. Do see it especially if you have boys and you'll find it stimulates conversation about fun and safety! Girls will love it because of the opportunity it affords to say, ""Boys are so weird!"" Don't miss it...",pos
"Bestselling writer George Plimpton(Alan Alda)takes on an assignment for Sports Illustrated. He is to go incognito to the Detroit Lions training camp and try out for a position as third string Quarterback. He is quickly found out by the team members featuring Alex Karras and Mike Lucci. The entire team finds it amusing to cause stumbling blocks in the writer's determination to Quarterback for a series in a real game.<br /><br />This movie is Alda's debut and also helped Karras leave the gridiron for acting. Besides the 1968 Detroit Lions, the cast also includes ""Sugar Ray"" Robinson, Roy Schieder and Lauren Hutton.<br /><br />Alex March directs this story based on Plimton's book.",neg
"Blood Legacy starts with the arrival of lawyer Tom Drake (Norman Bartold) to the Dean estate formerly owned by the now deceased Christopher Dean (John Carradine), upon his arrival he is greeted by Mr. Dean's four children, Gregory (Jeff Morrow) & his wife Laura (Merry Anders), Victoria (Faith Domergue), Johnny (Richard Davalos) plus Leslie (Brooke Mills) & her fella Carl Isenberg (John Smith). Drake plays a tape recording of they're late Father's wishes after his death, the estate worth 136 million dollars is to be split equally between his four children, if any should die then the money would be split equally between the rest & if all were to die the freaky servants Elga (Ivy Bethune), Igor (Buck Kartalian) & the more mundanely named Frank (John Russell) would pocket the lot. Well, not satisfied with a quarter share of $136 million (which is still almost $35 million back in 1971 which doesn't sound too bad to me) someone decides they want it all for themselves & it's not long before decapitated heads are turning up in the fridge...<br /><br />Co-written, produced & directed by Roy Monson Blood Legacy disappointed me on two accounts. For starters this film's alternate & much more common title is Legacy of Blood which is also the title of an obscure horror film directed by Andy Milliagn back in '78 which I've always wanted to see, both films are regularly mixed up as both have similar stories & when I checked my on screen cable TV guide for Legacy of Blood I was excited because it said it was the Milligan film & even listed him as director so when I actually sat down to watch it & I heard John Carradine's voice & I then knew it wasn't the Milligan film that I had wanted to see, my heart sank. Then, of course, there's the simple yet undeniably straight forward fact that Blood Legacy is a total utter piece of crap that is literally painful to watch at times. The script by Monson & Eric Norden is slow, boring & extremely predictable. The character's are absolutely bizarre in an annoying way, the freak of a servant who ask's his sister (?) to cane him, the strange set of Brother's & Sisters who are just downright unlikeable & so far removed from reality that any tension or mystery that the simplistic whodunit story could have achieved is sorely missing & then there's the awful twist ending that you can guess within the first 10 minutes. It's boring to watch, it's poorly paced & it's just a chore to even think about it. Please, someone save me as this is really bad stuff. I could go on all day about how bad Blood Legacy is, I really could.<br /><br />Director Monson was either working with a none existent budget or judging by this he shouldn't have even been directing traffic. The entire film looks ugly, it's poorly photographed & there is no atmosphere or scares. The blood & gore is tame, there's an axe in a head, a decapitated head, a scene when someone is stung to death by wasp's & the best murder when someone's face is eaten by piranha. However there are question marks over this scene, so there's the victim, right. There's the tank of piranha, right. Victims head is placed in piranha tank, right. Pirahna eat victims face, right. Water remains crystal clear despite said victim having his face eaten, erm where's the blood?<br /><br />Technically Blood Legacy is terrible, it looks awful, the sound was obviously shot live & it's muffled & hard to hear which considering the terrible dialogue is maybe a blessing in disguise. The acting was not going to win anyone any awards that's for sure, the least said about it the better.<br /><br />Blood Legacy is an awful film, there really isn't a single positive aspect to it or if there is I can't think of it. Do yourself a favour & don't bother with this one, there are much better films out there.",neg
